name,source_url,description,category,era,location,museum,material,dimensions,image_url,related_artifacts
高逸图,https://zh.wikipedia.org/wiki/%E9%AB%98%E9%80%B8%E5%9B%BE,"《高逸图》又名《七贤图》，为唐末书画家孙位唯一存世的作品，绢本设色，纵45.3厘米，横169.1厘米，现藏于上海博物馆。
《高逸图》为《竹林七贤图》殘卷，表现魏晋时期竹林七贤中的四賢（山涛、王戎、刘伶、阮籍），工笔重彩，鲜艳绚烂，衣冠器物符合晋唐之式，人物衣纹线条采用铁线描、兰叶描技法，呈现丝织品柔软透明的质感。
自北宋以来，该画由皇室和名家收藏，卷首有宋徽宗御题“孙位高逸图”五字。1922年《高逸图》流出宫廷。1955年由上海博物馆购藏。
2012年6月11日，《高逸图》列入国家文物局发布的《第二批禁止出国（境）展览文物目录（书画类）》。


== 参考文献 ==",上海博物馆藏品 | 人物畫 | 唐朝绘画作品 | 禁止出境展览文物,,,上海博物馆,,45.3 cm × 169.1 cm（17.8英寸 × 66.6英寸）,,“五星出东方利中国”护膊 | 㝬簋 | 七孔玉刀 | 三星堆出土玉边璋 | 三星堆金杖 | 中山王铁足铜鼎 | 五代耀州窑青釉刻花提梁倒流壶 | 五牛圖 | 人物御龙帛画 | 人物龙凤帛画 | 人面鱼纹彩陶盆 | 伯矩鬲 | 何尊 | 八重宝函 | 兽首玛瑙杯 | 凤冠 (定陵) | 刘胜金缕玉衣 | 利簋 | 勘书图 | 北宋刻本《范仲淹文集》 | 卓歇图 | 双鸟朝阳纹牙雕 | 史墙盘 | 吉祥遍至口合本续 | 后母戊鼎 | 唐长沙窑青釉褐彩贴花人物纹壶 | 商周太阳神鸟金饰 | 四羊方尊 | 夏景山口待渡图 | 大克鼎 | 大玉戈 | 大盂鼎 | 大禾方鼎 | 大秦景教流行中国碑 | 天亡簋 | 太保鼎 | 子龙鼎 | 岳麓秦简 | 嵌绿松石象牙杯 | 常阳太尊石像 | 平复帖 | 張好好詩 | 彩漆木雕小座屏 | 彩绘人物故事漆屏 | 彩绘鹳鱼石斧图陶缸 | 彩陶八角星纹豆 | 挥扇仕女图 | 昭陵六骏 | 晉侯穌編鐘 | 景雲鐘 | 曾侯乙墓外棺 | 曾侯乙编钟 | 曾侯乙青铜尊盘 | 朱然墓出土漆木屐 | 朱然墓出土贵族生活图漆盘 | 杀人祭柱场面贮贝器 | 步辇图 | 水晶杯 | 河姆渡出土朱漆碗 | 河姆渡出土陶灶 | 涅槃變相碑 | 淅川出土铜禁 | 淳化大鼎 | 清明上河圖 | 渔村小雪图 | 游春图 | 滇王之印 | 玉琮王 | 皇后之玺 | 直裾素紗襌衣 | 石鼓 (先秦) | 神兽纹玉樽 | 禁止出境展览文物 | 竹林七賢與榮啟期 | 红地对人兽树纹罽袍 | 红山文化女神像 | 红山文化玉龙 | 舞马衔杯仿皮囊式银壶 | 苦笋帖 | 莲鹤方壶 | 虢季子白盘 | 角形玉杯 | 诅盟场面贮贝器 | 识文彩绘盝顶长方形漆奁 | 越王勾践剑 | 趙佶草書千字文 | 逨盘 | 鑄客銅鼎 | 铜奔马 | 铜浮屠 | 铜车马 | 铜错金银四龙四凤方案 | 長信宮燈 | 陶鹰鼎 | 隋白釉龙柄双联传瓶 | 青花釉里红瓷仓 | 青铜神树 | 青铜立人像 | 鞍马出行图 | 韩熙载夜宴图 | 马王堆一号墓木棺椁 | 马王堆一号汉墓帛画 | 马王堆帛书周易 | 鸭形玻璃注 | 黑漆朱绘六博具 | 齐王墓青铜方镜
水晶杯,https://zh.wikipedia.org/wiki/%E6%B0%B4%E6%99%B6%E6%9D%AF,水晶杯，1990年出土於浙江省杭州市半山鎮石塘村的戰國墓地，現藏杭州市文物考古研究所。是中華人民共和國國家一級文物，2002年列入禁止出國（境）展覽的文物名單。,1990年考古发现 | 中国陪葬品 | 中國傳統酒具 | 吴山 (杭州市) | 战国文物,战国,浙江省 杭州市 （1990年）,杭州市文物考古研究所,,,https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Crystal_Cup%28Warring_States_Period%29_in_Hangzhou_Museum.JPG/250px-Crystal_Cup%28Warring_States_Period%29_in_Hangzhou_Museum.JPG,“五星出东方利中国”护膊 | 㝬簋 | 七孔玉刀 | 三星堆出土玉边璋 | 三星堆金杖 | 中山王铁足铜鼎 | 五代耀州窑青釉刻花提梁倒流壶 | 五牛圖 | 人物御龙帛画 | 人物龙凤帛画 | 人面鱼纹彩陶盆 | 伯矩鬲 | 何尊 | 八重宝函 | 兽首玛瑙杯 | 凤冠 (定陵) | 刘胜金缕玉衣 | 利簋 | 勘书图 | 北宋刻本《范仲淹文集》 | 卓歇图 | 双鸟朝阳纹牙雕 | 史墙盘 | 吉祥遍至口合本续 | 后母戊鼎 | 唐长沙窑青釉褐彩贴花人物纹壶 | 商周太阳神鸟金饰 | 四羊方尊 | 夏景山口待渡图 | 大克鼎 | 大玉戈 | 大盂鼎 | 大禾方鼎 | 大秦景教流行中国碑 | 天亡簋 | 太保鼎 | 子龙鼎 | 岳麓秦简 | 嵌绿松石象牙杯 | 常阳太尊石像 | 平复帖 | 張好好詩 | 彩漆木雕小座屏 | 彩绘人物故事漆屏 | 彩绘鹳鱼石斧图陶缸 | 彩陶八角星纹豆 | 挥扇仕女图 | 昭陵六骏 | 晉侯穌編鐘 | 景雲鐘 | 曾侯乙墓外棺 | 曾侯乙编钟 | 曾侯乙青铜尊盘 | 朱然墓出土漆木屐 | 朱然墓出土贵族生活图漆盘 | 杀人祭柱场面贮贝器 | 步辇图 | 河姆渡出土朱漆碗 | 河姆渡出土陶灶 | 涅槃變相碑 | 淅川出土铜禁 | 淳化大鼎 | 清明上河圖 | 渔村小雪图 | 游春图 | 滇王之印 | 玉琮王 | 皇后之玺 | 直裾素紗襌衣 | 石鼓 (先秦) | 神兽纹玉樽 | 禁止出境展览文物 | 竹林七賢與榮啟期 | 红地对人兽树纹罽袍 | 红山文化女神像 | 红山文化玉龙 | 舞马衔杯仿皮囊式银壶 | 苦笋帖 | 莲鹤方壶 | 虢季子白盘 | 角形玉杯 | 诅盟场面贮贝器 | 识文彩绘盝顶长方形漆奁 | 越王勾践剑 | 趙佶草書千字文 | 逨盘 | 鑄客銅鼎 | 铜奔马 | 铜浮屠 | 铜车马 | 铜错金银四龙四凤方案 | 長信宮燈 | 陶鹰鼎 | 隋白釉龙柄双联传瓶 | 青花釉里红瓷仓 | 青铜神树 | 青铜立人像 | 鞍马出行图 | 韩熙载夜宴图 | 马王堆一号墓木棺椁 | 马王堆一号汉墓帛画 | 马王堆帛书周易 | 高逸图 | 鸭形玻璃注 | 黑漆朱绘六博具 | 齐王墓青铜方镜
兽面乳钉纹方鼎,https://zh.wikipedia.org/wiki/%E5%85%BD%E9%9D%A2%E4%B9%B3%E9%92%89%E7%BA%B9%E6%96%B9%E9%BC%8E,"兽面乳钉纹方鼎是指1974年出土于河南省郑州市张寨南街杜岭土岗窖藏出土的两尊青铜鼎，又称“杜岭方鼎”。其中较大的一尊又称“杜岭一号鼎”，现藏中国国家博物馆，较小的一尊又称“杜岭二号鼎”，现藏河南博物院。本器采用多范分铸法铸造。
文物时期为商代早期（前1600-前1300年），杜岭一号鼎通高100厘米，口径62.5厘米×61厘米，重86.4公斤；杜岭二号鼎通高87厘米，口径61厘米×61厘米，重64.25公斤。",中國國家博物館藏品 | 使用ISBN魔术链接的页面 | 使用过时图像语法的页面 | 全部小作品 | 商朝青铜器,,,,,杜岭一号鼎：高100厘米，口径62.5厘米×61厘米 杜岭二号鼎：高87厘米，口径61厘米×61厘米; 杜岭一号鼎：86.4千克 杜岭二号鼎：64.25千克,https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/Early_Shang_Bronze_Ding.jpg/250px-Early_Shang_Bronze_Ding.jpg,
神面纹玉戚,https://zh.wikipedia.org/wiki/%E7%A5%9E%E9%9D%A2%E7%BA%B9%E7%8E%89%E6%88%9A,神面纹玉戚，又名神面纹青玉戚，为中华人民共和国山西博物院藏的新石器时代玉器文物，时代约公元前2500年，为国家一级文物。,中国一级文物 | 山西博物院藏品 | 引文格式1错误：日期 | 玉戚 | 龙山文化,,,,,,,
立牛铜葫芦笙,https://zh.wikipedia.org/wiki/%E7%AB%8B%E7%89%9B%E9%93%9C%E8%91%AB%E8%8A%A6%E7%AC%99,立牛铜葫芦笙，战国时期滇国乐器，现为云南省博物馆藏。,中国一级文物 | 中国陪葬品 | 云南省博物馆藏品 | 引文格式1错误：日期 | 战国文物,,,,,,,
唐长沙窑青釉褐彩贴花人物纹壶,https://zh.wikipedia.org/wiki/%E5%94%90%E9%95%BF%E6%B2%99%E7%AA%91%E9%9D%92%E9%87%89%E8%A4%90%E5%BD%A9%E8%B4%B4%E8%8A%B1%E4%BA%BA%E7%89%A9%E7%BA%B9%E5%A3%B6,唐长沙窑青釉褐彩贴花人物纹壶，又名长沙窑褐斑贴花舞蹈人物瓷壶，1973年出土于中国湖南省衡阳市司前街水井，是中华人民共和国禁止出境展览文物，现藏于湖南博物院。,使用了两种注音方式的页面 | 含有注音符號的條目 | 含有漢語拼音的條目 | 唐朝陶瓷 | 湖南省博物馆藏品,唐,1973年湖南衡阳,湖南博物院,,,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/%E9%95%BF%E6%B2%99%E7%AA%91%E9%9D%92%E9%87%89%E8%A4%90%E5%BD%A9%E8%B4%B4%E8%8A%B1%E4%BA%BA%E7%89%A9%E7%BA%B9%E5%A3%B6%2C_2018-09-28.jpg/250px-%E9%95%BF%E6%B2%99%E7%AA%91%E9%9D%92%E9%87%89%E8%A4%90%E5%BD%A9%E8%B4%B4%E8%8A%B1%E4%BA%BA%E7%89%A9%E7%BA%B9%E5%A3%B6%2C_2018-09-28.jpg,“五星出东方利中国”护膊 | 㝬簋 | 七孔玉刀 | 三星堆出土玉边璋 | 三星堆金杖 | 中山王铁足铜鼎 | 五代耀州窑青釉刻花提梁倒流壶 | 五牛圖 | 人物御龙帛画 | 人物龙凤帛画 | 人面鱼纹彩陶盆 | 伯矩鬲 | 何尊 | 八重宝函 | 兽首玛瑙杯 | 凤冠 (定陵) | 刘胜金缕玉衣 | 利簋 | 勘书图 | 北宋刻本《范仲淹文集》 | 卓歇图 | 双鸟朝阳纹牙雕 | 史墙盘 | 吉祥遍至口合本续 | 后母戊鼎 | 商周太阳神鸟金饰 | 四羊方尊 | 夏景山口待渡图 | 大克鼎 | 大玉戈 | 大盂鼎 | 大禾方鼎 | 大秦景教流行中国碑 | 天亡簋 | 太保鼎 | 子龙鼎 | 岳麓秦简 | 嵌绿松石象牙杯 | 常阳太尊石像 | 平复帖 | 張好好詩 | 彩漆木雕小座屏 | 彩绘人物故事漆屏 | 彩绘鹳鱼石斧图陶缸 | 彩陶八角星纹豆 | 挥扇仕女图 | 昭陵六骏 | 晉侯穌編鐘 | 景雲鐘 | 曾侯乙墓外棺 | 曾侯乙编钟 | 曾侯乙青铜尊盘 | 朱然墓出土漆木屐 | 朱然墓出土贵族生活图漆盘 | 杀人祭柱场面贮贝器 | 步辇图 | 水晶杯 | 河姆渡出土朱漆碗 | 河姆渡出土陶灶 | 涅槃變相碑 | 淅川出土铜禁 | 淳化大鼎 | 清明上河圖 | 渔村小雪图 | 游春图 | 滇王之印 | 玉琮王 | 皇后之玺 | 直裾素紗襌衣 | 石鼓 (先秦) | 神兽纹玉樽 | 禁止出境展览文物 | 竹林七賢與榮啟期 | 红地对人兽树纹罽袍 | 红山文化女神像 | 红山文化玉龙 | 舞马衔杯仿皮囊式银壶 | 苦笋帖 | 莲鹤方壶 | 虢季子白盘 | 角形玉杯 | 诅盟场面贮贝器 | 识文彩绘盝顶长方形漆奁 | 越王勾践剑 | 趙佶草書千字文 | 逨盘 | 鑄客銅鼎 | 铜奔马 | 铜浮屠 | 铜车马 | 铜错金银四龙四凤方案 | 長信宮燈 | 陶鹰鼎 | 隋白釉龙柄双联传瓶 | 青花釉里红瓷仓 | 青铜神树 | 青铜立人像 | 鞍马出行图 | 韩熙载夜宴图 | 马王堆一号墓木棺椁 | 马王堆一号汉墓帛画 | 马王堆帛书周易 | 高逸图 | 鸭形玻璃注 | 黑漆朱绘六博具 | 齐王墓青铜方镜
三枝俑灯,https://zh.wikipedia.org/wiki/%E4%B8%89%E6%9E%9D%E4%BF%91%E7%81%AF,三枝俑灯，又名三支俑铜灯，出土自中华人民共和国云南省个旧黑玛井东汉墓地，是滇国青铜器的代表作，现为云南省博物馆藏。,中国一级文物 | 云南省博物馆藏品 | 引文格式1错误：日期 | 红河哈尼族彝族自治州文物,,,,,,,
曾侯乙墓外棺,https://zh.wikipedia.org/wiki/%E6%9B%BE%E4%BE%AF%E4%B9%99%E5%A2%93%E5%A4%96%E6%A3%BA,曾侯乙墓外棺，战国时期大型漆器，1978年出土于中国湖北省随县（今随州市）曾侯乙墓，为曾国国君乙的葬具。该棺为中国国家一级文物，现存湖北省博物馆。,湖北省博物館藏品 | 禁止出境展览文物 | 随州文物,战国,湖北省 随县 （1978年）,湖北省博物馆,,,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/%E6%9B%BE%E4%BE%AF%E4%B9%99%E5%A2%93%E5%A4%96%E6%A3%BA%EF%BC%8C2014-04-06_01.jpg/330px-%E6%9B%BE%E4%BE%AF%E4%B9%99%E5%A2%93%E5%A4%96%E6%A3%BA%EF%BC%8C2014-04-06_01.jpg,“五星出东方利中国”护膊 | 㝬簋 | 七孔玉刀 | 三星堆出土玉边璋 | 三星堆金杖 | 中山王铁足铜鼎 | 五代耀州窑青釉刻花提梁倒流壶 | 五牛圖 | 人物御龙帛画 | 人物龙凤帛画 | 人面鱼纹彩陶盆 | 伯矩鬲 | 何尊 | 八重宝函 | 兽首玛瑙杯 | 凤冠 (定陵) | 刘胜金缕玉衣 | 利簋 | 勘书图 | 北宋刻本《范仲淹文集》 | 卓歇图 | 双鸟朝阳纹牙雕 | 史墙盘 | 吉祥遍至口合本续 | 后母戊鼎 | 唐长沙窑青釉褐彩贴花人物纹壶 | 商周太阳神鸟金饰 | 四羊方尊 | 夏景山口待渡图 | 大克鼎 | 大玉戈 | 大盂鼎 | 大禾方鼎 | 大秦景教流行中国碑 | 天亡簋 | 太保鼎 | 子龙鼎 | 岳麓秦简 | 嵌绿松石象牙杯 | 常阳太尊石像 | 平复帖 | 張好好詩 | 彩漆木雕小座屏 | 彩绘人物故事漆屏 | 彩绘鹳鱼石斧图陶缸 | 彩陶八角星纹豆 | 挥扇仕女图 | 昭陵六骏 | 晉侯穌編鐘 | 景雲鐘 | 曾侯乙编钟 | 曾侯乙青铜尊盘 | 朱然墓出土漆木屐 | 朱然墓出土贵族生活图漆盘 | 杀人祭柱场面贮贝器 | 步辇图 | 水晶杯 | 河姆渡出土朱漆碗 | 河姆渡出土陶灶 | 涅槃變相碑 | 淅川出土铜禁 | 淳化大鼎 | 清明上河圖 | 渔村小雪图 | 游春图 | 滇王之印 | 玉琮王 | 皇后之玺 | 直裾素紗襌衣 | 石鼓 (先秦) | 神兽纹玉樽 | 禁止出境展览文物 | 竹林七賢與榮啟期 | 红地对人兽树纹罽袍 | 红山文化女神像 | 红山文化玉龙 | 舞马衔杯仿皮囊式银壶 | 苦笋帖 | 莲鹤方壶 | 虢季子白盘 | 角形玉杯 | 诅盟场面贮贝器 | 识文彩绘盝顶长方形漆奁 | 越王勾践剑 | 趙佶草書千字文 | 逨盘 | 鑄客銅鼎 | 铜奔马 | 铜浮屠 | 铜车马 | 铜错金银四龙四凤方案 | 長信宮燈 | 陶鹰鼎 | 隋白釉龙柄双联传瓶 | 青花釉里红瓷仓 | 青铜神树 | 青铜立人像 | 鞍马出行图 | 韩熙载夜宴图 | 马王堆一号墓木棺椁 | 马王堆一号汉墓帛画 | 马王堆帛书周易 | 高逸图 | 鸭形玻璃注 | 黑漆朱绘六博具 | 齐王墓青铜方镜
人物御龙帛画,https://zh.wikipedia.org/wiki/%E4%BA%BA%E7%89%A9%E5%BE%A1%E9%BE%99%E5%B8%9B%E7%94%BB,人物御龙帛画是战国中晚期的帛画精品，1973年于湖南省长沙市子彈庫一號墓出土，是中华人民共和国2002年公布的64件禁止出国（境）展览文物之一，现藏湖南省博物馆。此墓此前还出土过楚帛书。,中国画作品 | 帛画 | 战国文物 | 楚国文物 | 湖南省博物馆藏品,战国,湖南省 长沙市 （1973年）,湖南博物院,,,https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Changshadragon.jpg/250px-Changshadragon.jpg,“五星出东方利中国”护膊 | 㝬簋 | 七孔玉刀 | 三星堆出土玉边璋 | 三星堆金杖 | 中山王铁足铜鼎 | 五代耀州窑青釉刻花提梁倒流壶 | 五牛圖 | 人物龙凤帛画 | 人面鱼纹彩陶盆 | 伯矩鬲 | 何尊 | 八重宝函 | 兽首玛瑙杯 | 凤冠 (定陵) | 刘胜金缕玉衣 | 利簋 | 勘书图 | 北宋刻本《范仲淹文集》 | 卓歇图 | 双鸟朝阳纹牙雕 | 史墙盘 | 吉祥遍至口合本续 | 后母戊鼎 | 唐长沙窑青釉褐彩贴花人物纹壶 | 商周太阳神鸟金饰 | 四羊方尊 | 夏景山口待渡图 | 大克鼎 | 大玉戈 | 大盂鼎 | 大禾方鼎 | 大秦景教流行中国碑 | 天亡簋 | 太保鼎 | 子龙鼎 | 岳麓秦简 | 嵌绿松石象牙杯 | 常阳太尊石像 | 平复帖 | 張好好詩 | 彩漆木雕小座屏 | 彩绘人物故事漆屏 | 彩绘鹳鱼石斧图陶缸 | 彩陶八角星纹豆 | 挥扇仕女图 | 昭陵六骏 | 晉侯穌編鐘 | 景雲鐘 | 曾侯乙墓外棺 | 曾侯乙编钟 | 曾侯乙青铜尊盘 | 朱然墓出土漆木屐 | 朱然墓出土贵族生活图漆盘 | 杀人祭柱场面贮贝器 | 步辇图 | 水晶杯 | 河姆渡出土朱漆碗 | 河姆渡出土陶灶 | 涅槃變相碑 | 淅川出土铜禁 | 淳化大鼎 | 清明上河圖 | 渔村小雪图 | 游春图 | 滇王之印 | 玉琮王 | 皇后之玺 | 直裾素紗襌衣 | 石鼓 (先秦) | 神兽纹玉樽 | 禁止出境展览文物 | 竹林七賢與榮啟期 | 红地对人兽树纹罽袍 | 红山文化女神像 | 红山文化玉龙 | 舞马衔杯仿皮囊式银壶 | 苦笋帖 | 莲鹤方壶 | 虢季子白盘 | 角形玉杯 | 诅盟场面贮贝器 | 识文彩绘盝顶长方形漆奁 | 越王勾践剑 | 趙佶草書千字文 | 逨盘 | 鑄客銅鼎 | 铜奔马 | 铜浮屠 | 铜车马 | 铜错金银四龙四凤方案 | 長信宮燈 | 陶鹰鼎 | 隋白釉龙柄双联传瓶 | 青花釉里红瓷仓 | 青铜神树 | 青铜立人像 | 鞍马出行图 | 韩熙载夜宴图 | 马王堆一号墓木棺椁 | 马王堆一号汉墓帛画 | 马王堆帛书周易 | 高逸图 | 鸭形玻璃注 | 黑漆朱绘六博具 | 齐王墓青铜方镜
双鸟朝阳纹牙雕,https://zh.wikipedia.org/wiki/%E5%8F%8C%E9%B8%9F%E6%9C%9D%E9%98%B3%E7%BA%B9%E7%89%99%E9%9B%95,"双鸟朝阳纹牙雕是一件新石器时代的牙雕艺术品，现藏于浙江省博物馆。双鸟朝阳纹牙雕出土于浙江余姚河姆渡遗址第二期文化层第226号探方。牙雕长16.6，残宽6.3，厚1.2厘米，以阴线雕刻，由圆锥浅钻而成。中部为一组同心圆，与外侧的火焰状纹形成太阳形象，两侧为对称的双鸟纹，边缘有线条衬托。图像两侧设有6个捆绑或悬挂用的小圆孔，上四下二，均为对称钻而成。
1996年5月12日中国邮政发行的“河姆渡遗址”特种邮票第四张“崇鸟敬日”主题即为双鸟朝阳纹牙雕。


== 参考 ==",余姚市 | 全部小作品 | 宁波文物 | 文化小作品 | 河姆渡文化,新石器时代,浙江 余姚 （1977年）,浙江省博物馆,,,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/Butterfly-shaped_ivory_vessel_with_the_pattern_of_two_birds_facing_the_sun%28Neolithic%29_in_Zhejiang_Museum.JPG/250px-Butterfly-shaped_ivory_vessel_with_the_pattern_of_two_birds_facing_the_sun%28Neolithic%29_in_Zhejiang_Museum.JPG,“五星出东方利中国”护膊 | 㝬簋 | 七孔玉刀 | 三星堆出土玉边璋 | 三星堆金杖 | 中山王铁足铜鼎 | 五代耀州窑青釉刻花提梁倒流壶 | 五牛圖 | 人物御龙帛画 | 人物龙凤帛画 | 人面鱼纹彩陶盆 | 伯矩鬲 | 何尊 | 八重宝函 | 兽首玛瑙杯 | 凤冠 (定陵) | 刘胜金缕玉衣 | 利簋 | 勘书图 | 北宋刻本《范仲淹文集》 | 卓歇图 | 史墙盘 | 吉祥遍至口合本续 | 后母戊鼎 | 唐长沙窑青釉褐彩贴花人物纹壶 | 商周太阳神鸟金饰 | 四羊方尊 | 夏景山口待渡图 | 大克鼎 | 大玉戈 | 大盂鼎 | 大禾方鼎 | 大秦景教流行中国碑 | 天亡簋 | 太保鼎 | 子龙鼎 | 岳麓秦简 | 嵌绿松石象牙杯 | 常阳太尊石像 | 平复帖 | 張好好詩 | 彩漆木雕小座屏 | 彩绘人物故事漆屏 | 彩绘鹳鱼石斧图陶缸 | 彩陶八角星纹豆 | 挥扇仕女图 | 昭陵六骏 | 晉侯穌編鐘 | 景雲鐘 | 曾侯乙墓外棺 | 曾侯乙编钟 | 曾侯乙青铜尊盘 | 朱然墓出土漆木屐 | 朱然墓出土贵族生活图漆盘 | 杀人祭柱场面贮贝器 | 步辇图 | 水晶杯 | 河姆渡出土朱漆碗 | 河姆渡出土陶灶 | 涅槃變相碑 | 淅川出土铜禁 | 淳化大鼎 | 清明上河圖 | 渔村小雪图 | 游春图 | 滇王之印 | 玉琮王 | 皇后之玺 | 直裾素紗襌衣 | 石鼓 (先秦) | 神兽纹玉樽 | 禁止出境展览文物 | 竹林七賢與榮啟期 | 红地对人兽树纹罽袍 | 红山文化女神像 | 红山文化玉龙 | 舞马衔杯仿皮囊式银壶 | 苦笋帖 | 莲鹤方壶 | 虢季子白盘 | 角形玉杯 | 诅盟场面贮贝器 | 识文彩绘盝顶长方形漆奁 | 越王勾践剑 | 趙佶草書千字文 | 逨盘 | 鑄客銅鼎 | 铜奔马 | 铜浮屠 | 铜车马 | 铜错金银四龙四凤方案 | 長信宮燈 | 陶鹰鼎 | 隋白釉龙柄双联传瓶 | 青花釉里红瓷仓 | 青铜神树 | 青铜立人像 | 鞍马出行图 | 韩熙载夜宴图 | 马王堆一号墓木棺椁 | 马王堆一号汉墓帛画 | 马王堆帛书周易 | 高逸图 | 鸭形玻璃注 | 黑漆朱绘六博具 | 齐王墓青铜方镜
人物龙凤帛画,https://zh.wikipedia.org/wiki/%E4%BA%BA%E7%89%A9%E9%BE%99%E5%87%A4%E5%B8%9B%E7%94%BB,《人物龙凤帛画》，又称为《龍鳳仕女圖》，是中国东周战国中晚期的帛画精品，1949年出土于湖南省长沙市东南郊楚墓，是现存最早的中国帛画之一，也是中华人民共和国2002年公布的64件禁止出国（境）展览文物之一 。现藏于湖南省博物馆。,中国画作品 | 帛画 | 春秋战国文物 | 楚国文物 | 湖南省博物馆藏品,战国,湖南省 长沙市 （1949年）,湖南博物院,,,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Silk_Painting_of_a_Lady%2C_Phoenix_and_Dragon.jpg/250px-Silk_Painting_of_a_Lady%2C_Phoenix_and_Dragon.jpg,“五星出东方利中国”护膊 | 㝬簋 | 七孔玉刀 | 三星堆出土玉边璋 | 三星堆金杖 | 中山王铁足铜鼎 | 五代耀州窑青釉刻花提梁倒流壶 | 五牛圖 | 人物御龙帛画 | 人面鱼纹彩陶盆 | 伯矩鬲 | 何尊 | 八重宝函 | 兽首玛瑙杯 | 凤冠 (定陵) | 刘胜金缕玉衣 | 利簋 | 勘书图 | 北宋刻本《范仲淹文集》 | 卓歇图 | 双鸟朝阳纹牙雕 | 史墙盘 | 吉祥遍至口合本续 | 后母戊鼎 | 唐长沙窑青釉褐彩贴花人物纹壶 | 商周太阳神鸟金饰 | 四羊方尊 | 夏景山口待渡图 | 大克鼎 | 大玉戈 | 大盂鼎 | 大禾方鼎 | 大秦景教流行中国碑 | 天亡簋 | 太保鼎 | 子龙鼎 | 岳麓秦简 | 嵌绿松石象牙杯 | 常阳太尊石像 | 平复帖 | 張好好詩 | 彩漆木雕小座屏 | 彩绘人物故事漆屏 | 彩绘鹳鱼石斧图陶缸 | 彩陶八角星纹豆 | 挥扇仕女图 | 昭陵六骏 | 晉侯穌編鐘 | 景雲鐘 | 曾侯乙墓外棺 | 曾侯乙编钟 | 曾侯乙青铜尊盘 | 朱然墓出土漆木屐 | 朱然墓出土贵族生活图漆盘 | 杀人祭柱场面贮贝器 | 步辇图 | 水晶杯 | 河姆渡出土朱漆碗 | 河姆渡出土陶灶 | 涅槃變相碑 | 淅川出土铜禁 | 淳化大鼎 | 清明上河圖 | 渔村小雪图 | 游春图 | 滇王之印 | 玉琮王 | 皇后之玺 | 直裾素紗襌衣 | 石鼓 (先秦) | 神兽纹玉樽 | 禁止出境展览文物 | 竹林七賢與榮啟期 | 红地对人兽树纹罽袍 | 红山文化女神像 | 红山文化玉龙 | 舞马衔杯仿皮囊式银壶 | 苦笋帖 | 莲鹤方壶 | 虢季子白盘 | 角形玉杯 | 诅盟场面贮贝器 | 识文彩绘盝顶长方形漆奁 | 越王勾践剑 | 趙佶草書千字文 | 逨盘 | 鑄客銅鼎 | 铜奔马 | 铜浮屠 | 铜车马 | 铜错金银四龙四凤方案 | 長信宮燈 | 陶鹰鼎 | 隋白釉龙柄双联传瓶 | 青花釉里红瓷仓 | 青铜神树 | 青铜立人像 | 鞍马出行图 | 韩熙载夜宴图 | 马王堆一号墓木棺椁 | 马王堆一号汉墓帛画 | 马王堆帛书周易 | 高逸图 | 鸭形玻璃注 | 黑漆朱绘六博具 | 齐王墓青铜方镜
越王者旨於睗剑 (浙江省博物馆藏),https://zh.wikipedia.org/wiki/%E8%B6%8A%E7%8E%8B%E8%80%85%E6%97%A8%E6%96%BC%E7%9D%97%E5%89%91_(%E6%B5%99%E6%B1%9F%E7%9C%81%E5%8D%9A%E7%89%A9%E9%A6%86%E8%97%8F),越王者旨於睗剑，浙江省博物馆馆藏文物，1995年在香港从日本收藏家处购买。该剑是诸多越王者旨於睗剑中的一把，是春秋时期越国君主者旨於睗时期铸造的铜剑。,中国一级文物 | 中文銘文 | 引文格式1错误：日期 | 春秋战国青铜器 | 浙江省博物館藏品,,,,,,,越王者旨於睗剑
